Metrics,Severity,API,Description
java.method.added,No,"org.apache.catalina.valves.AbstractAccessLogValve.""<init>"":()",Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.createAccessLogElement:(C),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.createAccessLogElement:(Ljava.lang.StringC),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.createLogElements:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.escapeAndAppend:(Ljava.lang.StringLjava.io.CharArrayWriter),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.findLocale:(Ljava.lang.StringLjava.util.Locale),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.getCondition:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.getConditionIf:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.getConditionUnless:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.getEnabled:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.getIpv6Canonical:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.getLocale:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.getMaxLogMessageBufferSize:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.getPattern:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.getRequestAttributesEnabled:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.invoke:(Lorg.apache.catalina.connector.RequestLorg.apache.catalina.connector.Response),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.log:(Ljava.io.CharArrayWriter),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.log:(Lorg.apache.catalina.connector.RequestLorg.apache.catalina.connector.ResponseJ),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.setCondition:(Ljava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.setConditionIf:(Ljava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.setConditionUnless:(Ljava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.setEnabled:(Z),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.setIpv6Canonical:(Z),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.setLocale:(Ljava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.setMaxLogMessageBufferSize:(I),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.setPattern:(Ljava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.setRequestAttributesEnabled:(Z),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.startInternal:(),Added Methods
java.method.added,No,org.apache.catalina.valves.AbstractAccessLogValve.stopInternal:(),Added Methods
java.method.added,No,"org.apache.catalina.webresources.AbstractArchiveResource.""<init>"":(Lorg.apache.catalina.webresources.AbstractArchiveResourceSetLjava.lang.StringLjava.lang.StringLjava.util.jar.JarEntryLjava.lang.String)",Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.canRead:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.delete:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.doGetInputStream:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.exists:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getArchiveResourceSet:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getBase:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getBaseUrl:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getCanonicalPath:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getCertificates:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getCodeBase:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getContent:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getContentLength:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getCreation:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getJarInputStreamWrapper:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getLastModified:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getManifest:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getName:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getResource:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.getURL:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.isDirectory:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.isFile:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResource.isVirtual:(),Added Methods
java.method.added,No,"org.apache.catalina.webresources.AbstractArchiveResourceSet.""<init>"":()",Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.closeJarFile:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.createArchiveResource:(Ljava.util.jar.JarEntryLjava.lang.StringLjava.util.jar.Manifest),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.gc:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.getArchiveEntries:(Z),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.getArchiveEntry:(Ljava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.getBaseUrl:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.getBaseUrlString:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.getResource:(Ljava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.isMultiRelease:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.isReadOnly:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.list:(Ljava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.listWebAppPaths:(Ljava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.mkdir:(Ljava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.openJarFile:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.setBaseUrl:(Ljava.net.URL),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.setReadOnly:(Z),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractArchiveResourceSet.write:(Ljava.lang.StringLjava.io.InputStreamZ),Added Methods
java.method.added,No,"org.apache.catalina.webresources.AbstractFileResourceSet.""<init>"":(Ljava.lang.String)",Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractFileResourceSet.checkType:(Ljava.io.File),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractFileResourceSet.file:(Ljava.lang.StringZ),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractFileResourceSet.gc:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractFileResourceSet.getBaseUrl:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractFileResourceSet.getFileBase:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractFileResourceSet.initInternal:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractFileResourceSet.isReadOnly:(),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractFileResourceSet.logIgnoredSymlink:(Ljava.lang.StringLjava.lang.StringLjava.lang.String),Added Methods
java.method.added,No,org.apache.catalina.webresources.AbstractFileResourceSet.setReadOnly:(Z),Added Methods
java.method.added,No,"org.apache.catalina.webresources.AbstractResource.""<init>"":(Lorg.apache.catalina.WebResourceRootLjava.lang.String)",Added Methods
