Metrics,Severity,API,Description
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getAnnotationsFontColor:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getCursorBackgroundColor:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getCursorColor:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getCursorFont:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getCursorFontColor:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getCursorSize:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getInfoPanelBackgroundColor:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getInfoPanelBorderColor:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getInfoPanelFont:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getInfoPanelPadding:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.getInfoPanelPosition:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.isCursorEnabled:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AbstractBaseTheme.isInfoPanelVisible:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AxesChartStyler.getXAxisMaxLabelCount:(),Added Methods
java.method.added,No,org.knowm.xchart.style.AxesChartStyler.setXAxisMaxLabelCount:(I),Added Methods
java.method.added,No,org.knowm.xchart.BoxChart.addSeries:(Ljava.lang.String[D),Added Methods
java.method.added,No,org.knowm.xchart.BoxChart.addSeries:(Ljava.lang.String[I),Added Methods
java.method.added,No,org.knowm.xchart.BoxChart.addSeries:(Ljava.lang.StringLjava.util.List),Added Methods
java.method.added,No,"org.knowm.xchart.BoxChart.""<init>"":(Lorg.knowm.xchart.BoxChartBuilder)",Added Methods
java.method.added,No,"org.knowm.xchart.BoxChart.""<init>"":(II)",Added Methods
java.method.added,No,"org.knowm.xchart.BoxChart.""<init>"":(IILorg.knowm.xchart.style.Styler$ChartTheme)",Added Methods
java.method.added,No,"org.knowm.xchart.BoxChart.""<init>"":(IILorg.knowm.xchart.style.Theme)",Added Methods
java.method.added,No,org.knowm.xchart.BoxChart.paint:(Ljava.awt.Graphics2DII),Added Methods
java.method.added,No,org.knowm.xchart.BoxChart.updateBoxSeries:(Ljava.lang.String[D),Added Methods
java.method.added,No,org.knowm.xchart.BoxChart.updateBoxSeries:(Ljava.lang.StringLjava.util.ListLjava.util.ListLjava.util.List),Added Methods
java.method.added,No,"org.knowm.xchart.BoxChartBuilder.""<init>"":()",Added Methods
java.method.added,No,org.knowm.xchart.BoxChartBuilder.build:(),Added Methods
java.method.added,No,org.knowm.xchart.BoxChartBuilder.build:(),Added Methods
java.method.added,No,org.knowm.xchart.BoxChartBuilder.xAxisTitle:(Ljava.lang.String),Added Methods
java.method.added,No,org.knowm.xchart.BoxChartBuilder.yAxisTitle:(Ljava.lang.String),Added Methods
java.method.added,No,"org.knowm.xchart.style.BoxPlotStyler.""<init>"":()",Added Methods
java.method.added,No,org.knowm.xchart.style.BoxPlotStyler.setTheme:(Lorg.knowm.xchart.style.Theme),Added Methods
java.method.added,No,"org.knowm.xchart.BoxSeries.""<init>"":(Ljava.lang.StringLjava.util.ListLjava.util.ListLjava.util.ListLorg.knowm.xchart.internal.series.Series$DataType)",Added Methods
java.method.added,No,org.knowm.xchart.BoxSeries.getLegendRenderType:(),Added Methods
java.method.added,No,org.knowm.xchart.style.PieStyler.ClockwiseDirectionType.valueOf:(Ljava.lang.String),Added Methods
java.method.added,No,org.knowm.xchart.style.PieStyler.ClockwiseDirectionType.values:(),Added Methods
java.method.added,No,org.knowm.xchart.style.Styler.InfoPanelPosition.valueOf:(Ljava.lang.String),Added Methods
java.method.added,No,org.knowm.xchart.style.Styler.InfoPanelPosition.values:(),Added Methods
