Metrics,Severity,API,Description
java.method.added,No,org.lwjgl.system.APIUtil.apiClosureRet:(JZ),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiClosureRet:(JB),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiClosureRet:(JD),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiClosureRet:(JF),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiClosureRet:(JI),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiClosureRet:(JS),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiClosureRetL:(JJ),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiClosureRetP:(JJ),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiCreateArray:(Lorg.lwjgl.system.libffi.FFITypeI),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiCreateCIF:(ILorg.lwjgl.system.libffi.FFIType[Lorg.lwjgl.system.libffi.FFIType),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiCreateCIFVar:(IILorg.lwjgl.system.libffi.FFIType[Lorg.lwjgl.system.libffi.FFIType),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiCreateStruct:([Lorg.lwjgl.system.libffi.FFIType),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiCreateUnion:([Lorg.lwjgl.system.libffi.FFIType),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiFilterExtensions:(Ljava.util.SetLorg.lwjgl.system.Configuration),Added Methods
java.method.added,No,org.lwjgl.system.APIUtil.apiStdcall:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFICIF.Buffer.abi:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFICIF.Buffer.arg_types:(I),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFICIF.Buffer.bytes:(),Added Methods
java.method.added,No,"org.lwjgl.system.libffi.FFICIF.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.libffi.FFICIF.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFICIF.Buffer.flags:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFICIF.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFICIF.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFICIF.Buffer.nargs:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFICIF.Buffer.rtype:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFICIF.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFICIF.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIClosure.Buffer.cif:(),Added Methods
java.method.added,No,"org.lwjgl.system.libffi.FFIClosure.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.libffi.FFIClosure.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIClosure.Buffer.fun:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIClosure.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIClosure.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIClosure.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIClosure.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIClosure.Buffer.user_data:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIType.Buffer.alignment:(),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIType.Buffer.alignment:(S),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIType.Buffer.elements:(I),Added Methods
java.method.added,No,org.lwjgl.system.libffi.FFIType.Buffer.elements:(Lorg.lwjgl.PointerBuffer),Added Methods
java.method.added,No,"org.lwjgl.system.libffi.FFIType.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.libffi.FFIType.Buffer.""<init>"":(JI)",Added Methods
