Metrics,Severity,API,Description
java.method.added,No,org.apache.mina.core.session.AbstractIoSession.isServer:(),Added Methods
java.method.added,No,org.apache.mina.filter.codec.AbstractProtocolDecoderOutput.flush:(Lorg.apache.mina.core.filterchain.IoFilter$NextFilterLorg.apache.mina.core.session.IoSession),Added Methods
java.method.added,No,"org.apache.mina.util.BasicThreadFactory.""<init>"":(Ljava.lang.String)",Added Methods
java.method.added,No,"org.apache.mina.util.BasicThreadFactory.""<init>"":(Ljava.lang.StringZ)",Added Methods
java.method.added,No,"org.apache.mina.util.BasicThreadFactory.""<init>"":(Ljava.lang.StringZI)",Added Methods
java.method.added,No,org.apache.mina.util.BasicThreadFactory.newThread:(Ljava.lang.Runnable),Added Methods
java.method.added,No,org.apache.mina.core.future.CloseFuture.addListener:(Lorg.apache.mina.core.future.IoFutureListener),Added Methods
java.method.added,No,org.apache.mina.core.future.CloseFuture.await:(),Added Methods
java.method.added,No,org.apache.mina.core.future.CloseFuture.awaitUninterruptibly:(),Added Methods
java.method.added,No,org.apache.mina.core.future.CloseFuture.removeListener:(Lorg.apache.mina.core.future.IoFutureListener),Added Methods
java.method.added,No,org.apache.mina.core.future.ConnectFuture.addListener:(Lorg.apache.mina.core.future.IoFutureListener),Added Methods
java.method.added,No,org.apache.mina.core.future.ConnectFuture.await:(),Added Methods
java.method.added,No,org.apache.mina.core.future.ConnectFuture.awaitUninterruptibly:(),Added Methods
java.method.added,No,org.apache.mina.core.future.ConnectFuture.removeListener:(Lorg.apache.mina.core.future.IoFutureListener),Added Methods
java.method.added,No,org.apache.mina.transport.socket.DatagramAcceptor.getDefaultLocalAddress:(),Added Methods
java.method.added,No,org.apache.mina.transport.socket.DatagramAcceptor.getLocalAddress:(),Added Methods
java.method.added,No,org.apache.mina.transport.socket.DatagramAcceptor.getSessionConfig:(),Added Methods
java.method.added,No,org.apache.mina.transport.socket.DatagramConnector.getDefaultRemoteAddress:(),Added Methods
java.method.added,No,org.apache.mina.transport.socket.DatagramConnector.getSessionConfig:(),Added Methods
java.method.added,No,"org.apache.mina.filter.ssl.EncryptedWriteRequest.""<init>"":(Ljava.lang.ObjectLorg.apache.mina.core.write.WriteRequest)",Added Methods
java.method.added,No,org.apache.mina.filter.ssl.EncryptedWriteRequest.getOriginalRequest:(),Added Methods
java.method.added,No,org.apache.mina.core.session.IoSession.isServer:(),Added Methods
java.method.added,No,org.apache.mina.core.future.ReadFuture.addListener:(Lorg.apache.mina.core.future.IoFutureListener),Added Methods
java.method.added,No,org.apache.mina.core.future.ReadFuture.await:(),Added Methods
java.method.added,No,org.apache.mina.core.future.ReadFuture.awaitUninterruptibly:(),Added Methods
java.method.added,No,org.apache.mina.core.future.ReadFuture.removeListener:(Lorg.apache.mina.core.future.IoFutureListener),Added Methods
java.method.added,No,org.apache.mina.transport.socket.SocketAcceptor.getDefaultLocalAddress:(),Added Methods
java.method.added,No,org.apache.mina.transport.socket.SocketAcceptor.getLocalAddress:(),Added Methods
java.method.added,No,org.apache.mina.transport.socket.SocketAcceptor.getSessionConfig:(),Added Methods
java.method.added,No,org.apache.mina.transport.socket.SocketConnector.getDefaultRemoteAddress:(),Added Methods
java.method.added,No,org.apache.mina.transport.socket.SocketConnector.getSessionConfig:(),Added Methods
java.method.added,No,org.apache.mina.filter.ssl.SslFilter.createEngine:(Lorg.apache.mina.core.session.IoSessionLjava.net.InetSocketAddress),Added Methods
java.method.added,No,org.apache.mina.filter.ssl.SslFilter.onClose:(Lorg.apache.mina.core.filterchain.IoFilter$NextFilterLorg.apache.mina.core.session.IoSessionZ),Added Methods
java.method.added,No,org.apache.mina.filter.ssl.SslFilter.onConnected:(Lorg.apache.mina.core.filterchain.IoFilter$NextFilterLorg.apache.mina.core.session.IoSession),Added Methods
java.method.added,No,org.apache.mina.filter.ssl.SslFilter.sessionOpened:(Lorg.apache.mina.core.filterchain.IoFilter$NextFilterLorg.apache.mina.core.session.IoSession),Added Methods
java.method.added,No,org.apache.mina.filter.ssl.SslHandler.ack:(Lorg.apache.mina.core.filterchain.IoFilter$NextFilterLorg.apache.mina.core.write.WriteRequest),Added Methods
java.method.added,No,org.apache.mina.filter.ssl.SslHandler.allocate_app_buffer:(I),Added Methods
java.method.added,No,org.apache.mina.filter.ssl.SslHandler.allocate_encode_buffer:(I),Added Methods
java.method.added,No,org.apache.mina.filter.ssl.SslHandler.close:(Lorg.apache.mina.core.filterchain.IoFilter$NextFilterZ),Added Methods
