Metrics,Severity,API,Description
java.method.added,No,io.swagger.v3.core.jackson.AbstractModelConverter._findTypeName:(Lcom.fasterxml.jackson.databind.JavaTypeLcom.fasterxml.jackson.databind.BeanDescription),Added Methods
java.method.added,No,io.swagger.v3.core.jackson.AbstractModelConverter._isSetType:(Ljava.lang.Class),Added Methods
java.method.added,No,io.swagger.v3.core.jackson.AbstractModelConverter._subTypeName:(Lcom.fasterxml.jackson.databind.jsontype.NamedType),Added Methods
java.method.added,No,io.swagger.v3.core.jackson.AbstractModelConverter._typeName:(Lcom.fasterxml.jackson.databind.JavaType),Added Methods
java.method.added,No,io.swagger.v3.core.jackson.AbstractModelConverter._typeName:(Lcom.fasterxml.jackson.databind.JavaTypeLcom.fasterxml.jackson.databind.BeanDescription),Added Methods
java.method.added,No,io.swagger.v3.core.jackson.AbstractModelConverter._typeQName:(Lcom.fasterxml.jackson.databind.JavaType),Added Methods
java.method.added,No,"io.swagger.v3.core.jackson.AbstractModelConverter.""<init>"":(Lcom.fasterxml.jackson.databind.ObjectMapper)",Added Methods
java.method.added,No,"io.swagger.v3.core.jackson.AbstractModelConverter.""<init>"":(Lcom.fasterxml.jackson.databind.ObjectMapperLio.swagger.v3.core.jackson.TypeNameResolver)",Added Methods
java.method.added,No,io.swagger.v3.core.jackson.AbstractModelConverter.resolve:(Lio.swagger.v3.core.converter.AnnotatedTypeLio.swagger.v3.core.converter.ModelConverterContextLjava.util.Iterator),Added Methods
java.method.added,No,"io.swagger.v3.core.filter.AbstractSpecFilter.""<init>"":()",Added Methods
java.method.added,No,io.swagger.v3.core.filter.AbstractSpecFilter.filterOpenAPI:(Lio.swagger.v3.oas.models.OpenAPILjava.util.MapLjava.util.MapLjava.util.Map),Added Methods
java.method.added,No,io.swagger.v3.core.filter.AbstractSpecFilter.filterOperation:(Lio.swagger.v3.oas.models.OperationLio.swagger.v3.core.model.ApiDescriptionLjava.util.MapLjava.util.MapLjava.util.Map),Added Methods
java.method.added,No,io.swagger.v3.core.filter.AbstractSpecFilter.filterParameter:(Lio.swagger.v3.oas.models.parameters.ParameterLio.swagger.v3.oas.models.OperationLio.swagger.v3.core.model.ApiDescriptionLjava.util.MapLjava.util.MapLjava.util.Map),Added Methods
java.method.added,No,io.swagger.v3.core.filter.AbstractSpecFilter.filterPathItem:(Lio.swagger.v3.oas.models.PathItemLio.swagger.v3.core.model.ApiDescriptionLjava.util.MapLjava.util.MapLjava.util.Map),Added Methods
